Region,Country,City,Month,Day,Year,AvgTemp (C)
Asia,India,Delhi,7,19,1996,31.22
Asia,India,Delhi,7,20,1996,30.17
Asia,India,Delhi,7,21,1996,30.5
Asia,India,Delhi,7,22,1996,30.83
Asia,India,Delhi,7,23,1996,28.33
Asia,India,Delhi,7,24,1996,28.17
Asia,India,Delhi,7,25,1996,27.17
Asia,India,Delhi,7,26,1996,31.67
Asia,India,Delhi,7,27,1996,31.5
Asia,India,Delhi,7,28,1996,30.28
Asia,India,Delhi,7,29,1996,31.22
Asia,India,Delhi,7,30,1996,30.5
Asia,India,Delhi,7,31,1996,28.39
Asia,India,Delhi,8,1,1996,27.44
Asia,India,Delhi,8,2,1996,28.17
Asia,India,Delhi,8,3,1996,27.33
Asia,India,Delhi,8,4,1996,29.39
Asia,India,Delhi,8,5,1996,29.78
Asia,India,Delhi,8,6,1996,30.33
Asia,India,Delhi,8,7,1996,30.33
Asia,India,Delhi,8,8,1996,29.67
Asia,India,Delhi,8,9,1996,29.83
Asia,India,Delhi,8,10,1996,28.89
Asia,India,Delhi,8,11,1996,29.11
Asia,India,Delhi,8,12,1996,29.83
Asia,India,Delhi,8,13,1996,29.39
Asia,India,Delhi,8,14,1996,26
Asia,India,Delhi,8,15,1996,27.67
Asia,India,Delhi,8,16,1996,28
Asia,India,Delhi,8,17,1996,28.17
Asia,India,Delhi,8,18,1996,27.78
Asia,India,Delhi,8,19,1996,27.11
Asia,India,Delhi,8,20,1996,26.11
Asia,India,Delhi,8,21,1996,27.11
Asia,India,Delhi,8,22,1996,25.67
Asia,India,Delhi,8,23,1996,24.89
Asia,India,Delhi,8,24,1996,27.06
Asia,India,Delhi,8,25,1996,29
Asia,India,Delhi,8,26,1996,30.78
Asia,India,Delhi,8,27,1996,30.83
Asia,India,Delhi,8,28,1996,30.78
Asia,India,Delhi,8,29,1996,29.33
Asia,India,Delhi,8,30,1996,30.06
Asia,India,Delhi,8,31,1996,28.5
Asia,India,Delhi,9,1,1996,29.94
Asia,India,Delhi,9,2,1996,29.5
Asia,India,Delhi,9,3,1996,27.39
Asia,India,Delhi,9,4,1996,26.94
Asia,India,Delhi,9,5,1996,27.11
Asia,India,Delhi,9,6,1996,27.28
Asia,India,Delhi,9,7,1996,25.89
Asia,India,Delhi,9,8,1996,25.72
Asia,India,Delhi,9,9,1996,25.83
Asia,India,Delhi,9,10,1996,27.28
Asia,India,Delhi,9,11,1996,29.28
Asia,India,Delhi,9,12,1996,28.06
Asia,India,Delhi,9,13,1996,28.94
Asia,India,Delhi,9,14,1996,29.89
Asia,India,Delhi,9,15,1996,29
Asia,India,Delhi,9,16,1996,29.61
Asia,India,Delhi,9,17,1996,31.5
Asia,India,Delhi,9,18,1996,28.78
Asia,India,Delhi,9,19,1996,28.78
Asia,India,Delhi,9,20,1996,29.39
Asia,India,Delhi,9,21,1996,29.89
Asia,India,Delhi,9,22,1996,30.56
Asia,India,Delhi,9,23,1996,29.89
